conceptUri,code,preferredLabel
http://data.europa.eu/esco/isco/C01,01,ISCO Group 01 (ES)
http://data.europa.eu/esco/isco/C02,02,ISCO Group 02 (ES)
http://data.europa.eu/esco/isco/C03,03,ISCO Group 03 (ES)
http://data.europa.eu/esco/isco/C04,04,ISCO Group 04 (ES)
http://data.europa.eu/esco/isco/C05,05,ISCO Group 05 (ES)
http://data.europa.eu/esco/isco/C06,06,ISCO Group 06 (ES)
http://data.europa.eu/esco/isco/C07,07,ISCO Group 07 (ES)
http://data.europa.eu/esco/isco/C08,08,ISCO Group 08 (ES)
http://data.europa.eu/esco/isco/C09,09,ISCO Group 09 (ES)
http://data.europa.eu/esco/isco/C10,10,ISCO Group 10 (ES)
http://data.europa.eu/esco/isco/C11,11,ISCO Group 11 (ES)
http://data.europa.eu/esco/isco/C12,12,ISCO Group 12 (ES)
http://data.europa.eu/esco/isco/C13,13,ISCO Group 13 (ES)
http://data.europa.eu/esco/isco/C14,14,ISCO Group 14 (ES)
http://data.europa.eu/esco/isco/C15,15,ISCO Group 15 (ES)
http://data.europa.eu/esco/isco/C16,16,ISCO Group 16 (ES)
http://data.europa.eu/esco/isco/C17,17,ISCO Group 17 (ES)
http://data.europa.eu/esco/isco/C18,18,ISCO Group 18 (ES)
http://data.europa.eu/esco/isco/C19,19,ISCO Group 19 (ES)
http://data.europa.eu/esco/isco/C20,20,ISCO Group 20 (ES)
http://data.europa.eu/esco/isco/C21,21,ISCO Group 21 (ES)
http://data.europa.eu/esco/isco/C22,22,ISCO Group 22 (ES)
http://data.europa.eu/esco/isco/C23,23,ISCO Group 23 (ES)
http://data.europa.eu/esco/isco/C24,24,ISCO Group 24 (ES)
http://data.europa.eu/esco/isco/C25,25,ISCO Group 25 (ES)
http://data.europa.eu/esco/isco/C26,26,ISCO Group 26 (ES)
http://data.europa.eu/esco/isco/C27,27,ISCO Group 27 (ES)
http://data.europa.eu/esco/isco/C28,28,ISCO Group 28 (ES)
http://data.europa.eu/esco/isco/C29,29,ISCO Group 29 (ES)
http://data.europa.eu/esco/isco/C30,30,ISCO Group 30 (ES)
http://data.europa.eu/esco/isco/C31,31,ISCO Group 31 (ES)
http://data.europa.eu/esco/isco/C32,32,ISCO Group 32 (ES)
http://data.europa.eu/esco/isco/C33,33,ISCO Group 33 (ES)
http://data.europa.eu/esco/isco/C34,34,ISCO Group 34 (ES)
http://data.europa.eu/esco/isco/C35,35,ISCO Group 35 (ES)
http://data.europa.eu/esco/isco/C36,36,ISCO Group 36 (ES)
http://data.europa.eu/esco/isco/C37,37,ISCO Group 37 (ES)
http://data.europa.eu/esco/isco/C38,38,ISCO Group 38 (ES)
http://data.europa.eu/esco/isco/C39,39,ISCO Group 39 (ES)
http://data.europa.eu/esco/isco/C40,40,ISCO Group 40 (ES)
