conceptUri,broaderUri
http://data.europa.eu/esco/occupation/00000006,http://data.europa.eu/esco/occupation/00000001
http://data.europa.eu/esco/occupation/00000011,http://data.europa.eu/esco/occupation/00000006
http://data.europa.eu/esco/occupation/00000016,http://data.europa.eu/esco/occupation/00000011
http://data.europa.eu/esco/occupation/00000021,http://data.europa.eu/esco/occupation/00000016
http://data.europa.eu/esco/occupation/00000026,http://data.europa.eu/esco/occupation/00000021
http://data.europa.eu/esco/occupation/00000031,http://data.europa.eu/esco/occupation/00000026
http://data.europa.eu/esco/occupation/00000036,http://data.europa.eu/esco/occupation/00000031
http://data.europa.eu/esco/occupation/00000041,http://data.europa.eu/esco/occupation/00000036
http://data.europa.eu/esco/occupation/00000046,http://data.europa.eu/esco/occupation/00000041
http://data.europa.eu/esco/occupation/00000051,http://data.europa.eu/esco/occupation/00000046
http://data.europa.eu/esco/occupation/00000056,http://data.europa.eu/esco/occupation/00000051
http://data.europa.eu/esco/occupation/00000061,http://data.europa.eu/esco/occupation/00000056
http://data.europa.eu/esco/occupation/00000066,http://data.europa.eu/esco/occupation/00000061
http://data.europa.eu/esco/occupation/00000071,http://data.europa.eu/esco/occupation/00000066
http://data.europa.eu/esco/occupation/00000076,http://data.europa.eu/esco/occupation/00000071
http://data.europa.eu/esco/occupation/00000081,http://data.europa.eu/esco/occupation/00000076
http://data.europa.eu/esco/occupation/00000086,http://data.europa.eu/esco/occupation/00000081
http://data.europa.eu/esco/occupation/00000091,http://data.europa.eu/esco/occupation/00000086
http://data.europa.eu/esco/occupation/00000096,http://data.europa.eu/esco/occupation/00000091
http://data.europa.eu/esco/occupation/00000101,http://data.europa.eu/esco/occupation/00000096
http://data.europa.eu/esco/occupation/00000106,http://data.europa.eu/esco/occupation/00000101
http://data.europa.eu/esco/occupation/00000111,http://data.europa.eu/esco/occupation/00000106
http://data.europa.eu/esco/occupation/00000116,http://data.europa.eu/esco/occupation/00000111
http://data.europa.eu/esco/occupation/00000121,http://data.europa.eu/esco/occupation/00000116
http://data.europa.eu/esco/occupation/00000126,http://data.europa.eu/esco/occupation/00000121
http://data.europa.eu/esco/occupation/00000131,http://data.europa.eu/esco/occupation/00000126
http://data.europa.eu/esco/occupation/00000136,http://data.europa.eu/esco/occupation/00000131
http://data.europa.eu/esco/occupation/00000141,http://data.europa.eu/esco/occupation/00000136
http://data.europa.eu/esco/occupation/00000146,http://data.europa.eu/esco/occupation/00000141
http://data.europa.eu/esco/occupation/00000151,http://data.europa.eu/esco/occupation/00000146
http://data.europa.eu/esco/occupation/00000156,http://data.europa.eu/esco/occupation/00000151
http://data.europa.eu/esco/occupation/00000161,http://data.europa.eu/esco/occupation/00000156
http://data.europa.eu/esco/occupation/00000166,http://data.europa.eu/esco/occupation/00000161
http://data.europa.eu/esco/occupation/00000171,http://data.europa.eu/esco/occupation/00000166
http://data.europa.eu/esco/occupation/00000176,http://data.europa.eu/esco/occupation/00000171
http://data.europa.eu/esco/occupation/00000181,http://data.europa.eu/esco/occupation/00000176
http://data.europa.eu/esco/occupation/00000186,http://data.europa.eu/esco/occupation/00000181
http://data.europa.eu/esco/occupation/00000191,http://data.europa.eu/esco/occupation/00000186
http://data.europa.eu/esco/occupation/00000196,http://data.europa.eu/esco/occupation/00000191
