conceptUri,broaderUri
http://data.europa.eu/esco/skill/00000008,http://data.europa.eu/esco/skill/00000001
http://data.europa.eu/esco/skill/00000015,http://data.europa.eu/esco/skill/00000008
http://data.europa.eu/esco/skill/00000022,http://data.europa.eu/esco/skill/00000015
http://data.europa.eu/esco/skill/00000029,http://data.europa.eu/esco/skill/00000022
http://data.europa.eu/esco/skill/00000036,http://data.europa.eu/esco/skill/00000029
http://data.europa.eu/esco/skill/00000043,http://data.europa.eu/esco/skill/00000036
http://data.europa.eu/esco/skill/00000050,http://data.europa.eu/esco/skill/00000043
http://data.europa.eu/esco/skill/00000057,http://data.europa.eu/esco/skill/00000050
http://data.europa.eu/esco/skill/00000064,http://data.europa.eu/esco/skill/00000057
http://data.europa.eu/esco/skill/00000071,http://data.europa.eu/esco/skill/00000064
http://data.europa.eu/esco/skill/00000078,http://data.europa.eu/esco/skill/00000071
http://data.europa.eu/esco/skill/00000085,http://data.europa.eu/esco/skill/00000078
http://data.europa.eu/esco/skill/00000092,http://data.europa.eu/esco/skill/00000085
http://data.europa.eu/esco/skill/00000099,http://data.europa.eu/esco/skill/00000092
http://data.europa.eu/esco/skill/00000106,http://data.europa.eu/esco/skill/00000099
http://data.europa.eu/esco/skill/00000113,http://data.europa.eu/esco/skill/00000106
http://data.europa.eu/esco/skill/00000120,http://data.europa.eu/esco/skill/00000113
http://data.europa.eu/esco/skill/00000127,http://data.europa.eu/esco/skill/00000120
http://data.europa.eu/esco/skill/00000134,http://data.europa.eu/esco/skill/00000127
http://data.europa.eu/esco/skill/00000141,http://data.europa.eu/esco/skill/00000134
http://data.europa.eu/esco/skill/00000148,http://data.europa.eu/esco/skill/00000141
http://data.europa.eu/esco/skill/00000155,http://data.europa.eu/esco/skill/00000148
http://data.europa.eu/esco/skill/00000162,http://data.europa.eu/esco/skill/00000155
http://data.europa.eu/esco/skill/00000169,http://data.europa.eu/esco/skill/00000162
http://data.europa.eu/esco/skill/00000176,http://data.europa.eu/esco/skill/00000169
http://data.europa.eu/esco/skill/00000183,http://data.europa.eu/esco/skill/00000176
http://data.europa.eu/esco/skill/00000190,http://data.europa.eu/esco/skill/00000183
http://data.europa.eu/esco/skill/00000197,http://data.europa.eu/esco/skill/00000190
http://data.europa.eu/esco/skill/00000204,http://data.europa.eu/esco/skill/00000197
http://data.europa.eu/esco/skill/00000211,http://data.europa.eu/esco/skill/00000204
http://data.europa.eu/esco/skill/00000218,http://data.europa.eu/esco/skill/00000211
http://data.europa.eu/esco/skill/00000225,http://data.europa.eu/esco/skill/00000218
http://data.europa.eu/esco/skill/00000232,http://data.europa.eu/esco/skill/00000225
http://data.europa.eu/esco/skill/00000239,http://data.europa.eu/esco/skill/00000232
http://data.europa.eu/esco/skill/00000246,http://data.europa.eu/esco/skill/00000239
http://data.europa.eu/esco/skill/00000253,http://data.europa.eu/esco/skill/00000246
http://data.europa.eu/esco/skill/00000260,http://data.europa.eu/esco/skill/00000253
http://data.europa.eu/esco/skill/00000267,http://data.europa.eu/esco/skill/00000260
http://data.europa.eu/esco/skill/00000274,http://data.europa.eu/esco/skill/00000267
http://data.europa.eu/esco/skill/00000281,http://data.europa.eu/esco/skill/00000274
http://data.europa.eu/esco/skill/00000288,http://data.europa.eu/esco/skill/00000281
http://data.europa.eu/esco/skill/00000295,http://data.europa.eu/esco/skill/00000288
