occupationUri,skillUri,relationType
http://data.europa.eu/esco/occupation/00000001,http://data.europa.eu/esco/skill/00000131,essential
http://data.europa.eu/esco/occupation/00000002,http://data.europa.eu/esco/skill/00000224,essential
http://data.europa.eu/esco/occupation/00000002,http://data.europa.eu/esco/skill/00000001,optional
http://data.europa.eu/esco/occupation/00000002,http://data.europa.eu/esco/skill/00000267,optional
http://data.europa.eu/esco/occupation/00000003,http://data.europa.eu/esco/skill/00000170,optional
http://data.europa.eu/esco/occupation/00000004,http://data.europa.eu/esco/skill/00000064,optional
http://data.europa.eu/esco/occupation/00000004,http://data.europa.eu/esco/skill/00000154,optional
http://data.europa.eu/esco/occupation/00000004,http://data.europa.eu/esco/skill/00000260,optional
http://data.europa.eu/esco/occupation/00000005,http://data.europa.eu/esco/skill/00000152,essential
http://data.europa.eu/esco/occupation/00000005,http://data.europa.eu/esco/skill/00000284,essential
http://data.europa.eu/esco/occupation/00000006,http://data.europa.eu/esco/skill/00000195,optional
http://data.europa.eu/esco/occupation/00000006,http://data.europa.eu/esco/skill/00000090,optional
http://data.europa.eu/esco/occupation/00000007,http://data.europa.eu/esco/skill/00000001,essential
http://data.europa.eu/esco/occupation/00000007,http://data.europa.eu/esco/skill/00000156,optional
http://data.europa.eu/esco/occupation/00000007,http://data.europa.eu/esco/skill/00000147,optional
http://data.europa.eu/esco/occupation/00000008,http://data.europa.eu/esco/skill/00000227,optional
http://data.europa.eu/esco/occupation/00000008,http://data.europa.eu/esco/skill/00000110,essential
http://data.europa.eu/esco/occupation/00000009,http://data.europa.eu/esco/skill/00000044,optional
http://data.europa.eu/esco/occupation/00000009,http://data.europa.eu/esco/skill/00000146,essential
http://data.europa.eu/esco/occupation/00000009,http://data.europa.eu/esco/skill/00000264,essential
http://data.europa.eu/esco/occupation/00000010,http://data.europa.eu/esco/skill/00000159,essential
http://data.europa.eu/esco/occupation/00000010,http://data.europa.eu/esco/skill/00000116,essential
http://data.europa.eu/esco/occupation/00000010,http://data.europa.eu/esco/skill/00000102,essential
http://data.europa.eu/esco/occupation/00000011,http://data.europa.eu/esco/skill/00000244,essential
http://data.europa.eu/esco/occupation/00000012,http://data.europa.eu/esco/skill/00000213,essential
http://data.europa.eu/esco/occupation/00000012,http://data.europa.eu/esco/skill/00000295,optional
http://data.europa.eu/esco/occupation/00000013,http://data.europa.eu/esco/skill/00000205,essential
http://data.europa.eu/esco/occupation/00000013,http://data.europa.eu/esco/skill/00000125,essential
http://data.europa.eu/esco/occupation/00000014,http://data.europa.eu/esco/skill/00000218,essential
