conceptUri,preferredLabel,altLabels,description,iscoGroup
http://data.europa.eu/esco/occupation/00000001,Occupation 1 (ES),,Description for occupation 1. Performs tasks related to field 1. [ES],08
http://data.europa.eu/esco/occupation/00000002,Occupation 2 (ES),,Description for occupation 2. Performs tasks related to field 2. [ES],02
http://data.europa.eu/esco/occupation/00000003,Occupation 3 (ES),"Alt occupation 3
Secondary title 3",Description for occupation 3. Performs tasks related to field 3. [ES],18
http://data.europa.eu/esco/occupation/00000004,Occupation 4 (ES),,Description for occupation 4. Performs tasks related to field 4. [ES],16
http://data.europa.eu/esco/occupation/00000005,Occupation 5 (ES),,Description for occupation 5. Performs tasks related to field 5. [ES],15
http://data.europa.eu/esco/occupation/00000006,Occupation 6 (ES),"Alt occupation 6
Secondary title 6",Description for occupation 6. Performs tasks related to field 6. [ES],09
http://data.europa.eu/esco/occupation/00000007,Occupation 7 (ES),,Description for occupation 7. Performs tasks related to field 7. [ES],07
http://data.europa.eu/esco/occupation/00000008,Occupation 8 (ES),,Description for occupation 8. Performs tasks related to field 8. [ES],35
http://data.europa.eu/esco/occupation/00000009,Occupation 9 (ES),"Alt occupation 9
Secondary title 9",Description for occupation 9. Performs tasks related to field 9. [ES],06
http://data.europa.eu/esco/occupation/00000010,Occupation 10 (ES),,Description for occupation 10. Performs tasks related to field 10. [ES],38
http://data.europa.eu/esco/occupation/00000011,Occupation 11 (ES),,Description for occupation 11. Performs tasks related to field 11. [ES],28
http://data.europa.eu/esco/occupation/00000012,Occupation 12 (ES),"Alt occupation 12
Secondary title 12",Description for occupation 12. Performs tasks related to field 12. [ES],03
http://data.europa.eu/esco/occupation/00000013,Occupation 13 (ES),,Description for occupation 13. Performs tasks related to field 13. [ES],02
http://data.europa.eu/esco/occupation/00000014,Occupation 14 (ES),,Description for occupation 14. Performs tasks related to field 14. [ES],06
http://data.europa.eu/esco/occupation/00000015,Occupation 15 (ES),"Alt occupation 15
Secondary title 15",Description for occupation 15. Performs tasks related to field 15. [ES],14
http://data.europa.eu/esco/occupation/00000016,Occupation 16 (ES),,Description for occupation 16. Performs tasks related to field 16. [ES],15
http://data.europa.eu/esco/occupation/00000017,Occupation 17 (ES),,Description for occupation 17. Performs tasks related to field 17. [ES],33
http://data.europa.eu/esco/occupation/00000018,Occupation 18 (ES),"Alt occupation 18
Secondary title 18",Description for occupation 18. Performs tasks related to field 18. [ES],39
http://data.europa.eu/esco/occupation/00000019,Occupation 19 (ES),,Description for occupation 19. Performs tasks related to field 19. [ES],02
http://data.europa.eu/esco/occupation/00000020,Occupation 20 (ES),,Description for occupation 20. Performs tasks related to field 20. [ES],36
http://data.europa.eu/esco/occupation/00000021,Occupation 21 (ES),"Alt occupation 21
Secondary title 21",Description for occupation 21. Performs tasks related to field 21. [ES],13
http://data.europa.eu/esco/occupation/00000022,Occupation 22 (ES),,Description for occupation 22. Performs tasks related to field 22. [ES],35
http://data.europa.eu/esco/occupation/00000023,Occupation 23 (ES),,Description for occupation 23. Performs tasks related to field 23. [ES],27
http://data.europa.eu/esco/occupation/00000024,Occupation 24 (ES),"Alt occupation 24
Secondary title 24",Description for occupation 24. Performs tasks related to field 24. [ES],15
http://data.europa.eu/esco/occupation/00000025,Occupation 25 (ES),,Description for occupation 25. Performs tasks related to field 25. [ES],29
http://data.europa.eu/esco/occupation/00000026,Occupation 26 (ES),,Description for occupation 26. Performs tasks related to field 26. [ES],38
http://data.europa.eu/esco/occupation/00000027,Occupation 27 (ES),"Alt occupation 27
Secondary title 27",Description for occupation 27. Performs tasks related to field 27. [ES],18
http://data.europa.eu/esco/occupation/00000028,Occupation 28 (ES),,Description for occupation 28. Performs tasks related to field 28. [ES],01
http://data.europa.eu/esco/occupation/00000029,Occupation 29 (ES),,Description for occupation 29. Performs tasks related to field 29. [ES],11
http://data.europa.eu/esco/occupation/00000030,Occupation 30 (ES),"Alt occupation 30
Secondary title 30",Description for occupation 30. Performs tasks related to field 30. [ES],28
http://data.europa.eu/esco/occupation/00000031,Occupation 31 (ES),,Description for occupation 31. Performs tasks related to field 31. [ES],22
http://data.europa.eu/esco/occupation/00000032,Occupation 32 (ES),,Description for occupation 32. Performs tasks related to field 32. [ES],18
http://data.europa.eu/esco/occupation/00000033,Occupation 33 (ES),"Alt occupation 33
Secondary title 33",Description for occupation 33. Performs tasks related to field 33. [ES],10
http://data.europa.eu/esco/occupation/00000034,Occupation 34 (ES),,Description for occupation 34. Performs tasks related to field 34. [ES],14
