conceptUri,relatedUri
http://data.europa.eu/esco/skill/00000011,http://data.europa.eu/esco/skill/00000001
http://data.europa.eu/esco/skill/00000021,http://data.europa.eu/esco/skill/00000011
http://data.europa.eu/esco/skill/00000031,http://data.europa.eu/esco/skill/00000021
http://data.europa.eu/esco/skill/00000041,http://data.europa.eu/esco/skill/00000031
http://data.europa.eu/esco/skill/00000051,http://data.europa.eu/esco/skill/00000041
http://data.europa.eu/esco/skill/00000061,http://data.europa.eu/esco/skill/00000051
http://data.europa.eu/esco/skill/00000071,http://data.europa.eu/esco/skill/00000061
http://data.europa.eu/esco/skill/00000081,http://data.europa.eu/esco/skill/00000071
http://data.europa.eu/esco/skill/00000091,http://data.europa.eu/esco/skill/00000081
http://data.europa.eu/esco/skill/00000101,http://data.europa.eu/esco/skill/00000091
http://data.europa.eu/esco/skill/00000111,http://data.europa.eu/esco/skill/00000101
http://data.europa.eu/esco/skill/00000121,http://data.europa.eu/esco/skill/00000111
http://data.europa.eu/esco/skill/00000131,http://data.europa.eu/esco/skill/00000121
http://data.europa.eu/esco/skill/00000141,http://data.europa.eu/esco/skill/00000131
http://data.europa.eu/esco/skill/00000151,http://data.europa.eu/esco/skill/00000141
http://data.europa.eu/esco/skill/00000161,http://data.europa.eu/esco/skill/00000151
http://data.europa.eu/esco/skill/00000171,http://data.europa.eu/esco/skill/00000161
http://data.europa.eu/esco/skill/00000181,http://data.europa.eu/esco/skill/00000171
http://data.europa.eu/esco/skill/00000191,http://data.europa.eu/esco/skill/00000181
http://data.europa.eu/esco/skill/00000201,http://data.europa.eu/esco/skill/00000191
http://data.europa.eu/esco/skill/00000211,http://data.europa.eu/esco/skill/00000201
http://data.europa.eu/esco/skill/00000221,http://data.europa.eu/esco/skill/00000211
http://data.europa.eu/esco/skill/00000231,http://data.europa.eu/esco/skill/00000221
http://data.europa.eu/esco/skill/00000241,http://data.europa.eu/esco/skill/00000231
http://data.europa.eu/esco/skill/00000251,http://data.europa.eu/esco/skill/00000241
http://data.europa.eu/esco/skill/00000261,http://data.europa.eu/esco/skill/00000251
http://data.europa.eu/esco/skill/00000271,http://data.europa.eu/esco/skill/00000261
http://data.europa.eu/esco/skill/00000281,http://data.europa.eu/esco/skill/00000271
http://data.europa.eu/esco/skill/00000291,http://data.europa.eu/esco/skill/00000281
