conceptUri,preferredLabel,altLabels,description,skillType
http://data.europa.eu/esco/skill/00000001,Skill 1,,Description for skill 1. Ability to perform task 1.,knowledge
http://data.europa.eu/esco/skill/00000002,Skill 2,,Description for skill 2. Ability to perform task 2.,attitude
http://data.europa.eu/esco/skill/00000003,Skill 3,,Description for skill 3. Ability to perform task 3.,attitude
http://data.europa.eu/esco/skill/00000004,Skill 4,"Alt skill 4
Synonym 4",Description for skill 4. Ability to perform task 4.,knowledge
http://data.europa.eu/esco/skill/00000005,Skill 5,,Description for skill 5. Ability to perform task 5.,knowledge
http://data.europa.eu/esco/skill/00000006,Skill 6,,Description for skill 6. Ability to perform task 6.,knowledge
http://data.europa.eu/esco/skill/00000007,Skill 7,,Description for skill 7. Ability to perform task 7.,knowledge
http://data.europa.eu/esco/skill/00000008,Skill 8,"Alt skill 8
Synonym 8",Description for skill 8. Ability to perform task 8.,skill
http://data.europa.eu/esco/skill/00000009,Skill 9,,Description for skill 9. Ability to perform task 9.,knowledge
http://data.europa.eu/esco/skill/00000010,Skill 10,,Description for skill 10. Ability to perform task 10.,attitude
http://data.europa.eu/esco/skill/00000011,Skill 11,,Description for skill 11. Ability to perform task 11.,knowledge
http://data.europa.eu/esco/skill/00000012,Skill 12,"Alt skill 12
Synonym 12",Description for skill 12. Ability to perform task 12.,skill
http://data.europa.eu/esco/skill/00000013,Skill 13,,Description for skill 13. Ability to perform task 13.,attitude
http://data.europa.eu/esco/skill/00000014,Skill 14,,Description for skill 14. Ability to perform task 14.,skill
http://data.europa.eu/esco/skill/00000015,Skill 15,,Description for skill 15. Ability to perform task 15.,knowledge
http://data.europa.eu/esco/skill/00000016,Skill 16,"Alt skill 16
Synonym 16",Description for skill 16. Ability to perform task 16.,attitude
http://data.europa.eu/esco/skill/00000017,Skill 17,,Description for skill 17. Ability to perform task 17.,knowledge
http://data.europa.eu/esco/skill/00000018,Skill 18,,Description for skill 18. Ability to perform task 18.,attitude
http://data.europa.eu/esco/skill/00000019,Skill 19,,Description for skill 19. Ability to perform task 19.,attitude
http://data.europa.eu/esco/skill/00000020,Skill 20,"Alt skill 20
Synonym 20",Description for skill 20. Ability to perform task 20.,attitude
http://data.europa.eu/esco/skill/00000021,Skill 21,,Description for skill 21. Ability to perform task 21.,skill
http://data.europa.eu/esco/skill/00000022,Skill 22,,Description for skill 22. Ability to perform task 22.,knowledge
http://data.europa.eu/esco/skill/00000023,Skill 23,,Description for skill 23. Ability to perform task 23.,skill
http://data.europa.eu/esco/skill/00000024,Skill 24,"Alt skill 24
Synonym 24",Description for skill 24. Ability to perform task 24.,skill
http://data.europa.eu/esco/skill/00000025,Skill 25,,Description for skill 25. Ability to perform task 25.,knowledge
http://data.europa.eu/esco/skill/00000026,Skill 26,,Description for skill 26. Ability to perform task 26.,knowledge
http://data.europa.eu/esco/skill/00000027,Skill 27,,Description for skill 27. Ability to perform task 27.,knowledge
http://data.europa.eu/esco/skill/00000028,Skill 28,"Alt skill 28
Synonym 28",Description for skill 28. Ability to perform task 28.,attitude
http://data.europa.eu/esco/skill/00000029,Skill 29,,Description for skill 29. Ability to perform task 29.,skill
http://data.europa.eu/esco/skill/00000030,Skill 30,,Description for skill 30. Ability to perform task 30.,skill
http://data.europa.eu/esco/skill/00000031,Skill 31,,Description for skill 31. Ability to perform task 31.,skill
http://data.europa.eu/esco/skill/00000032,Skill 32,"Alt skill 32
Synonym 32",Description for skill 32. Ability to perform task 32.,skill
http://data.europa.eu/esco/skill/00000033,Skill 33,,Description for skill 33. Ability to perform task 33.,skill
http://data.europa.eu/esco/skill/00000034,Skill 34,,Description for skill 34. Ability to perform task 34.,attitude
http://data.europa.eu/esco/skill/00000035,Skill 35,,Description for skill 35. Ability to perform task 35.,knowledge
http://data.europa.eu/esco/skill/00000036,Skill 36,"Alt skill 36
Synonym 36",Description for skill 36. Ability to perform task 36.,attitude
http://data.europa.eu/esco/skill/00000037,Skill 37,,Description for skill 37. Ability to perform task 37.,attitude
http://data.europa.eu/esco/skill/00000038,Skill 38,,Description for skill 38. Ability to perform task 38.,attitude
http://data.europa.eu/esco/skill/00000039,Skill 39,,Description for skill 39. Ability to perform task 39.,knowledge
http://data.europa.eu/esco/skill/00000040,Skill 40,"Alt skill 40
Synonym 40",Description for skill 40. Ability to perform task 40.,knowledge
http://data.europa.eu/esco/skill/00000041,Skill 41,,Description for skill 41. Ability to perform task 41.,skill
http://data.europa.eu/esco/skill/00000042,Skill 42,,Description for skill 42. Ability to perform task 42.,attitude
http://data.europa.eu/esco/skill/00000043,Skill 43,,Description for skill 43. Ability to perform task 43.,skill
http://data.europa.eu/esco/skill/00000044,Skill 44,"Alt skill 44
Synonym 44",Description for skill 44. Ability to perform task 44.,knowledge
http://data.europa.eu/esco/skill/00000045,Skill 45,,Description for skill 45. Ability to perform task 45.,knowledge
http://data.europa.eu/esco/skill/00000046,Skill 46,,Description for skill 46. Ability to perform task 46.,knowledge
http://data.europa.eu/esco/skill/00000047,Skill 47,,Description for skill 47. Ability to perform task 47.,knowledge
http://data.europa.eu/esco/skill/00000048,Skill 48,"Alt skill 48
Synonym 48",Description for skill 48. Ability to perform task 48.,attitude
http://data.europa.eu/esco/skill/00000049,Skill 49,,Description for skill 49. Ability to perform task 49.,skill
http://data.europa.eu/esco/skill/00000050,Skill 50,,Description for skill 50. Ability to perform task 50.,knowledge
http://data.europa.eu/esco/skill/00000051,Skill 51,,Description for skill 51. Ability to perform task 51.,skill
http://data.europa.eu/esco/skill/00000052,Skill 52,"Alt skill 52
Synonym 52",Description for skill 52. Ability to perform task 52.,knowledge
http://data.europa.eu/esco/skill/00000053,Skill 53,,Description for skill 53. Ability to perform task 53.,skill
http://data.europa.eu/esco/skill/00000054,Skill 54,,Description for skill 54. Ability to perform task 54.,skill
http://data.europa.eu/esco/skill/00000055,Skill 55,,Description for skill 55. Ability to perform task 55.,knowledge
http://data.europa.eu/esco/skill/00000056,Skill 56,"Alt skill 56
Synonym 56",Description for skill 56. Ability to perform task 56.,knowledge
http://data.europa.eu/esco/skill/00000057,Skill 57,,Description for skill 57. Ability to perform task 57.,skill
http://data.europa.eu/esco/skill/00000058,Skill 58,,Description for skill 58. Ability to perform task 58.,attitude
